Title,Name,Type,ID,Sub. Organization,Full Organization Name,Sector,License,Security Class,View Audience,Download,Record Publish date,Record Last Modified,Description,Resource Status,Resource URL,Format,Resource Name,Resource ID
BC Laws API,bc-laws-api,WebService,6e815cf7-cb83-4655-9ad4-a926ae4e59f7,e0abc95e-b3f1-4c84-abc5-cddd817e0ea1,"Ministry Of Technology Innovation And Citizens Services, Queen's Printer",Service,Queen's Printer License - British Columbia,LOW-PUBLIC,Public,Public,2015-02-19,2016-03-24,BC Laws is an electronic library providing free pu...,onGoing,"http://www.bclaws.ca/civix/template/complete/api/index.html,",html,API Application Programming Interface,361a7459-8f6f-4b02-bea8-bbe9ed764176,
BC Laws API,bc-laws-api,WebService,6e815cf7-cb83-4655-9ad4-a926ae4e59f7,e0abc95e-b3f1-4c84-abc5-cddd817e0ea1,"Ministry Of Technology Innovation And Citizens Services, Queen's Printer",Service,Queen's Printer License - British Columbia,LOW-PUBLIC,Public,Public,2015-02-19,2016-03-24,BC Laws is an electronic library providing free pu...,onGoing,"http://apps.gov.bc.ca/pub/api-explorer/?url=https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/bclaws/bclaws.json,", html, API Console, 6505a462-75de-44df-8db9-60a63cf7ab2f,
BC Laws API,bc-laws-api,WebService,6e815cf7-cb83-4655-9ad4-a926ae4e59f7,e0abc95e-b3f1-4c84-abc5-cddd817e0ea1,"Ministry Of Technology Innovation And Citizens Services, Queen's Printer",Service,Queen's Printer License - British Columbia,LOW-PUBLIC,Public,Public,2015-02-19,2016-03-24,BC Laws is an electronic library providing free pu...,onGoing,"https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/bclaws/bclaws.json,", json, API Specs, 3664d2d3-6dcb-4307-9652-a28332981ca3,
BC Laws API,bc-laws-api,WebService,6e815cf7-cb83-4655-9ad4-a926ae4e59f7,e0abc95e-b3f1-4c84-abc5-cddd817e0ea1,"Ministry Of Technology Innovation And Citizens Services, Queen's Printer",Service,Queen's Printer License - British Columbia,LOW-PUBLIC,Public,Public,2015-02-19,2016-03-24,BC Laws is an electronic library providing free pu...,onGoing,http://api.gov.bc.ca/editor/#/?import=https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/bclaws/bclaws.json, html, API Spec Editor, fbadcf16-a7cf-4128-b7d1-65b5d5b5aa79,
BC Web Map Library,bc-web-map-library,WebService,6164a2af-d3ac-4e92-8dbe-51a93bb5e24b,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-03-05,2016-01-27,The Data and Resource link below provides web serv...,completed,"http://openmaps.gov.bc.ca/kml/BCGov_Web_Map_Library.kml,",kml,KML with GroundOverlays for use in Google Earth,dbb39ef5-37ed-48db-b5b5-53e94f0d350c,
BC Web Map Library,bc-web-map-library,WebService,6164a2af-d3ac-4e92-8dbe-51a93bb5e24b,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-03-05,2016-01-27,The Data and Resource link below provides web serv...,completed,"http://openmaps.gov.bc.ca/geo/ows?service=wms&version=1.3.0&request=GetCapabilities,", wms, WMS Get Capabilities, df4d0947-d2e6-4287-a48e-1439f7d04a54,
BC Web Map Library,bc-web-map-library,WebService,6164a2af-d3ac-4e92-8dbe-51a93bb5e24b,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-03-05,2016-01-27,The Data and Resource link below provides web serv...,completed,http://openmaps.gov.bc.ca/geo/ows?, wms, WMS URL for use in viewers such as ESRI tools, f01c30ff-f174-47ba-9373-5c0ec0bca53a,
BC Albers Roads Cache,bc-albers-roads-cache,WebService,eadc1229-243d-46b0-a8b4-a765d7f241ca,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-02-28,2016-03-21,The Data and Resource link below provides web serv...,completed,"http://maps.gov.bc.ca/arcserver/services/Province/roads/MapServer/WMSServer?request=GetCapabilities&service=WMS,",xml,getCapabilities request,2ba5b381-8bfd-4eab-84a4-184e5fde1485,
BC Albers Roads Cache,bc-albers-roads-cache,WebService,eadc1229-243d-46b0-a8b4-a765d7f241ca,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-02-28,2016-03-21,The Data and Resource link below provides web serv...,completed,"http://maps.gov.bc.ca/arcserver/rest/services/Province/roads/MapServer,", html, End point rest service, a642e15a-a5a4-4e17-a8ff-98c45d51c575,
BC Albers Roads Cache,bc-albers-roads-cache,WebService,eadc1229-243d-46b0-a8b4-a765d7f241ca,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-02-28,2016-03-21,The Data and Resource link below provides web serv...,completed,http://maps.gov.bc.ca/arcgis/rest/services/Province/roads/MapServer/kml/mapImage.kmz, kmz, KML with GroundOverlays for use in Google Earth, f43b0fd3-cbe6-4553-8e1f-cd22f13570e9,
BC Albers Base Cache,bc-albers-base-cache,WebService,92598509-9283-4acc-b710-c4d764b05b07,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-02-28,2016-03-21,The Data and Resource link below provides web serv...,completed,"http://maps.gov.bc.ca/arcserver/services/Province/albers_cache/MapServer/WMSServer?request=GetCapabilities&service=WMS,",xml,getCapabilities request,f374dc9d-595c-4080-be25-7925027da797,
BC Albers Base Cache,bc-albers-base-cache,WebService,92598509-9283-4acc-b710-c4d764b05b07,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-02-28,2016-03-21,The Data and Resource link below provides web serv...,completed,"http://maps.gov.bc.ca/arcserver/rest/services/Province/albers_cache/MapServer,", html, End point rest service, 4f8c2008-94f5-476e-820a-85becd12129b,
BC Albers Base Cache,bc-albers-base-cache,WebService,92598509-9283-4acc-b710-c4d764b05b07,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-02-28,2016-03-21,The Data and Resource link below provides web serv...,completed,http://maps.gov.bc.ca/arcgis/rest/services/Province/albers_cache/MapServer/kml/mapImage.kmz, kmz, KML with GroundOverlays for use in Google Earth, a89eb72d-5113-40df-a76d-707bb650aef9,
BC Web Mercator Base Cache,bc-web-mercator-base-cache,WebService,a5f40ea5-2b14-4f10-9904-94465e085c7e,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-02-28,2016-03-21,The Data and Resource link below provides web serv...,completed,"http://maps.gov.bc.ca/arcserver/services/Province/web_mercator_cache/MapServer/WMSServer?request=GetCapabilities&service=WMS,",xml,getCapabilities request,4798ba14-8a85-4512-9417-393eb828feb5,
BC Web Mercator Base Cache,bc-web-mercator-base-cache,WebService,a5f40ea5-2b14-4f10-9904-94465e085c7e,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-02-28,2016-03-21,The Data and Resource link below provides web serv...,completed,"http://maps.gov.bc.ca/arcserver/rest/services/Province/web_mercator_cache/MapServer,", html, End point rest service, 34d83e3f-0f55-4d3c-9575-01380af3bee4,
BC Web Mercator Base Cache,bc-web-mercator-base-cache,WebService,a5f40ea5-2b14-4f10-9904-94465e085c7e,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-02-28,2016-03-21,The Data and Resource link below provides web serv...,completed,http://maps.gov.bc.ca/arcgis/rest/services/Province/web_mercator_cache/MapServer/kml/mapImage.kmz, kmz, KML with GroundOverlays for use in Google Earth, 144543e8-6e1e-48b0-8bbd-29b2f26b6436,
Geomark Web Service,geomark-web-service,WebService,57bffc95-93e5-470b-93b6-9bfe11d3c365,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2016-03-24,The Geomark Web Service is a free web service for ...,completed,"http://apps.gov.bc.ca/pub/geomark,",other,Access Geomark Web Service,7576cb55-9251-42cc-91a3-0aa67bdbac72,
Geomark Web Service,geomark-web-service,WebService,57bffc95-93e5-470b-93b6-9bfe11d3c365,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2016-03-24,The Geomark Web Service is a free web service for ...,completed,"http://apps.gov.bc.ca/pub/geomark/geomarks/gm-abcdefghijklmnopqrstuvwxyz0000bc/parts.kml,", kml, parts.kml, 9014187f-b288-4f5f-a39e-12fd382020b0,
Geomark Web Service,geomark-web-service,WebService,57bffc95-93e5-470b-93b6-9bfe11d3c365,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2016-03-24,The Geomark Web Service is a free web service for ...,completed,"http://apps.gov.bc.ca/pub/api-explorer/?url=https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/geomark/geomark.json,", html, API Console, 0ca6d75e-8c1a-4646-b56c-1e0de17042ae,
Geomark Web Service,geomark-web-service,WebService,57bffc95-93e5-470b-93b6-9bfe11d3c365,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2016-03-24,The Geomark Web Service is a free web service for ...,completed,"https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/geomark/geomark.json,", json, API Specs, cdf4e0a6-de74-446e-a05c-37e3ea5a3b8f,
Geomark Web Service,geomark-web-service,WebService,57bffc95-93e5-470b-93b6-9bfe11d3c365,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2016-03-24,The Geomark Web Service is a free web service for ...,completed,http://api.gov.bc.ca/editor/#/?import=https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/geomark/geomark.json, html, API Spec Editor, c19faaef-4019-4b4f-a29a-ffdfb0243b4c,
Physical Address Geocoding Web Service,physical-address-geocoding-web-service,WebService,8f4a016f-14db-4def-8ef9-7c797de1cdd9,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2013-01-25,2016-03-24,The Physical Address Geocoder can be used to resol...,completed,"http://apps.gov.bc.ca/pub/geocoder/geo/gc,",html,Access Physical Address Geocoder,59743be6-ad16-4987-9645-362dc353899a,
Physical Address Geocoding Web Service,physical-address-geocoding-web-service,WebService,8f4a016f-14db-4def-8ef9-7c797de1cdd9,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2013-01-25,2016-03-24,The Physical Address Geocoder can be used to resol...,completed,"http://apps.gov.bc.ca/pub/api-explorer/?url=https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/geocoder/geocoder.json,", html, API Console, 40d6411e-ab98-4df9-a24e-67f81c45f6fa,
Physical Address Geocoding Web Service,physical-address-geocoding-web-service,WebService,8f4a016f-14db-4def-8ef9-7c797de1cdd9,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2013-01-25,2016-03-24,The Physical Address Geocoder can be used to resol...,completed,"https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/geocoder/geocoder.json,", json, API Specs, 1a46fd76-1316-4fab-9d99-a2286dcd2b7b,
Physical Address Geocoding Web Service,physical-address-geocoding-web-service,WebService,8f4a016f-14db-4def-8ef9-7c797de1cdd9,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2013-01-25,2016-03-24,The Physical Address Geocoder can be used to resol...,completed,http://api.gov.bc.ca/editor/#/?import=https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/geocoder/geocoder.json, html, API Spec Editor, e12848c1-eecd-49a2-8ec1-99e0a277f170,
Orthophoto Web Map Service,orthophoto-web-map-service,WebService,3fa96b60-0260-45b7-b231-3ce4610852c0,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-02-01,The orthophoto Web Map Service (WMS) provides comp...,onGoing,https://openmaps.gov.bc.ca/lzt/ows?service=wms&version=1.1.1&request=getcapabilities,wms,WMS getCapabilities request,64a43124-6708-4bc3-a26d-4df11db4d435,
Wildlife and Plant Species Web Map Service,wildlife-and-plant-species-web-map-service,WebService,d9701432-9e89-4617-b9a3-1faafd2df19b,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/wildlife-and-plant-species?service=wms&request=getcapabilities&version=1.1.1,",xml,getCapabilities request,b99bb496-8cb2-4913-9b7b-37d16e18227f,
Wildlife and Plant Species Web Map Service,wildlife-and-plant-species-web-map-service,WebService,d9701432-9e89-4617-b9a3-1faafd2df19b,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Wildlife_and_Plant_Species_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, 71ad6c79-44da-4732-bd24-0e68607f6388,
Wildlife and Plant Species Web Map Service,wildlife-and-plant-species-web-map-service,WebService,d9701432-9e89-4617-b9a3-1faafd2df19b,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/wildlife-and-plant-species?, wms, WMS URL for use in viewers such as ESRI tools, c1ea3a30-85a9-4389-9fbd-3e5caef5a668,
Waste Web Map Service,waste-web-map-service,WebService,3859b80e-4a77-4352-9e16-257b8d155dee,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/waste?service=WMS&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) - getCapabilities request,c0e9c0cf-1300-40f1-b45f-0b75051f10ab,
Waste Web Map Service,waste-web-map-service,WebService,3859b80e-4a77-4352-9e16-257b8d155dee,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Waste_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, 254c007d-342e-4234-9310-14ac59a0a355,
Waste Web Map Service,waste-web-map-service,WebService,3859b80e-4a77-4352-9e16-257b8d155dee,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/waste?, wms, (DEPRECATED) - WMS URL for use in viewers such as ESRI tools, 4c947910-23b1-4027-bb44-5d8af67ec481,
Provincial Fish Ranges Web Map Service,provincial-fish-ranges-web-map-service,WebService,364906e2-503c-40fb-be9d-3486b05d228d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/provincial-fish?service=WMS&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) - getCapabilities request,ff590805-ceba-4eef-9a02-eabd01067084,
Provincial Fish Ranges Web Map Service,provincial-fish-ranges-web-map-service,WebService,364906e2-503c-40fb-be9d-3486b05d228d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Provincial_Fish_Ranges_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, 775651d1-03af-405b-a204-098f23c79d88,
Provincial Fish Ranges Web Map Service,provincial-fish-ranges-web-map-service,WebService,364906e2-503c-40fb-be9d-3486b05d228d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/provincial-fish?, wms, (DEPRECATED) - WMS URL for use in viewers such as ESRI tools, 3798233d-2715-47d9-a104-50aec188bc1e,
Physical Infrastructure Web Map Service,physical-infrastructure-web-map-service,WebService,b2f5f17a-c8a7-47b7-baeb-a8941cd0cfcc,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/physical-infrastructure?service=WMS&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) getCapabilities request,ec27bae3-4de0-4be3-8e66-40d0bde1d2d0,
Physical Infrastructure Web Map Service,physical-infrastructure-web-map-service,WebService,b2f5f17a-c8a7-47b7-baeb-a8941cd0cfcc,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Physical_Infrastructure_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, 711b808c-4d78-4036-8583-83ed456c77d8,
