Title,Name,Type,ID,Sub. Organization,Full Organization Name,Sector,License,Security Class,View Audience,Download,Record Publish date,Record Last Modified,Description,Resource Status,Resource URL,Format,Resource Name,Resource ID
Environmental Protection Information Resources e-Library,environmental-protection-information-resources-e-library,Application,dae0f2c3-b4f4-4d16-a96d-d7fe7c1581f3,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-12-01,2015-12-01,A searchable catalog that provides access to a bro...,completed,http://www.env.gov.bc.ca/eirs/epd/,,Environmental Protection Information Resources e-Library,72361605-663c-4113-bbde-18f97e096eba,
MapPlace,mapplace,Application,28fc0701-efc5-4e2c-8557-fd065ec3fadb,195dd739-2df9-4dc7-b5ab-1f6a71a3b50f,"Ministry Of Energy And Mines, BC Geological Survey",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-08-20,2016-03-09,MapPlace is a web service that allows clients to b...,onGoing,"http://www.empr.gov.bc.ca/Mining/Geoscience/MapPlace/MainMaps/Pages/TableofMaps.aspx,",,MapPlace Table of Maps,f5b65442-f909-4148-8bb6-e9bc37eaed34,
MapPlace,mapplace,Application,28fc0701-efc5-4e2c-8557-fd065ec3fadb,195dd739-2df9-4dc7-b5ab-1f6a71a3b50f,"Ministry Of Energy And Mines, BC Geological Survey",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-08-20,2016-03-09,MapPlace is a web service that allows clients to b...,onGoing,"http://www.empr.gov.bc.ca/Mining/Geoscience/MapPlace/Pages/SummaryDataAvailable.aspx,", , Summary of Major Datasets on MapPlace, 0520b6bc-c58e-4eeb-a8a2-e0d73de4c0cd,
MapPlace,mapplace,Application,28fc0701-efc5-4e2c-8557-fd065ec3fadb,195dd739-2df9-4dc7-b5ab-1f6a71a3b50f,"Ministry Of Energy And Mines, BC Geological Survey",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-08-20,2016-03-09,MapPlace is a web service that allows clients to b...,onGoing,http://www.empr.gov.bc.ca/Mining/Geoscience/MapPlace/geoData/Pages/default.aspx, , Geospatial Data Downloads from MapPlace, 02016302-c357-4323-908a-4359ea3cda64,
COALFILE Search,coalfile-search,Application,860318a3-663f-4c87-b3c8-9f40e22b5e72,195dd739-2df9-4dc7-b5ab-1f6a71a3b50f,"Ministry Of Energy And Mines, BC Geological Survey",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-08-13,2016-03-03,"An online COALFILE Search application, posted Febr...",completed,http://webmap.em.gov.bc.ca/mapplace/coal/search.asp,,COALFILE Search,21a58015-4a96-4061-af3f-8aac0728ebd1,
Integrated Petroleum System (IPS) Web Search Tool,integrated-petroleum-system-ips-web-search-tool,Application,6f6e55da-74c7-434c-89ed-0ed9a9338916,cb0f7f4a-c9af-4a1e-bc9a-4ba402141fcd,"Ministry Of Natural Gas Development, Tenure and Geoscience",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-07-02,2015-07-02,The Integrated Petroleum System (IPS) web search t...,onGoing,https://a100.gov.bc.ca/pub/ipsweb/,,Launch IPS Web Application,57688ad8-a163-4d44-a470-294c4ad076a7,
iMapBC 4 Mobile,imapbc-4-mobile,Application,5a98ad13-95e3-4c95-aa47-6a61c3b38e6d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2015-04-17,2015-09-14,DataBC has launched the latest version of iMapBC f...,completed,http://maps.gov.bc.ca/ess/hm/imap4m/,,Launch iMapBC 4 Mobile,dcebdecd-2b85-4645-aad0-d6c058c6f084,
BC Economic Atlas Application,bc-economic-atlas-application,Application,eb7dd92b-2d76-408c-bd00-be7817dbeec0,7e137b69-bb59-4ab5-9e9f-364feb3edcc8,"Ministry Of Jobs Tourism And Skills Training, Economic Development Division",Economy,Access Only,LOW-PUBLIC,Public,Public,2015-01-05,2015-01-06,The BC Economic Atlas provides a single window and...,completed,http://maps.gov.bc.ca/ess/sv/bcea/,,Launch BC Economic Atlas,7ef44b31-0e65-4fff-91a2-eeab0fce864b,
Area Of Interest Selector (Secure),area-of-interest-selector-secure,Application,fa0839dd-d07e-417a-bc3f-66cbe46d5868,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2014-12-04,2015-12-22,"A secure, DataBC-hosted web map that allows users ...",completed,https://arcmaps.gov.bc.ca/ess/sv/aoi/,other,Launch AOI Selector Application,87b0a810-d540-4073-916b-b26b8c56737d,
Traditional Use Studies (Secure),traditional-use-studies-secure,Application,f5a00c63-7c95-4863-8712-1a614c69742c,31a52cd3-99f1-4a02-aa0b-68a24bd20dac,"Ministry Of Aboriginal Relations And Reconciliation, Lands and Resources",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2014-12-04,2015-12-22,"A secure, DataBC-hosted web mapping application fo...",completed,https://arcmaps.gov.bc.ca/ess/sv/tus/,other,Launch Traditional Use Studies Application,cdac4ba4-d089-4fa0-87b5-f0fcdcee383e,
