Title,Name,Type,ID,Sub. Organization,Full Organization Name,Sector,License,Security Class,View Audience,Download,Record Publish date,Record Last Modified,Description,Resource Status,Resource URL,Format,Resource Name,Resource ID,Resource Type,Object Name
Environmental Remediation Sites - Internal,environmental-remediation-sites-internal,Geographic,ab54dbb8-fe47-4801-a501-bf933eea8546,218e193f-e6ad-41a8-93ec-3e2b62d1307b,Environmental Emergencies and Land Remediation,Health and Safety,Access Only,HIGH-SENSITIVITY,Government,Government,2016-04-05,2016-04-05,A layer containing data on known and potentially c,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16906,shp,Environmental Remediation Sites,e2e6740f-617a-41d9-ac27-993bf4d8c97f,Data,WHSE_WASTE.SITE_ENV_RMDTN_SITES_GOV_SVW
Criminal Code Traffic Offences,criminal-code-traffic-offences,Dataset,ee9d4ee0-6a34-4dff-89e0-9add9a969168,b75a2c41-c6a0-4c4a-b933-084b76c18f9c,Policing and Security,Justice,Statistics Canada,LOW-PUBLIC,Public,Public,2016-03-31,2016-03-31,Ten year trend in Criminal Code Traffic offences b,completed,https://catalogue.data.gov.bc.ca/dataset/ee9d4ee0-6a34-4dff-89e0-9add9a969168/resource/93871f81-dc4e-4bab-a3a7-3c47d52e17ca/download/CCCDrivingoffences2004-2014.xlsx,xlsx,CCC_Driving_offences_2004-2014,93871f81-dc4e-4bab-a3a7-3c47d52e17ca,Data,
Controlled Drugs and Substances Act Drug offences,controlled-drugs-and-substances-act-drug-offences,Dataset,da522ca8-df9e-4f17-8a49-2382ad547875,b75a2c41-c6a0-4c4a-b933-084b76c18f9c,Policing and Security,Justice,Statistics Canada,LOW-PUBLIC,Public,Public,2016-03-31,2016-03-31,Ten year trend in Controlled Drugs and Substances ,completed,https://catalogue.data.gov.bc.ca/dataset/da522ca8-df9e-4f17-8a49-2382ad547875/resource/e3a8f4bb-fe85-4080-bcf8-ab0e7be3ca71/download/CDSADrugoffences2004-2014.xlsx,xlsx,CDSA_Drug_offences_2004-2014,e3a8f4bb-fe85-4080-bcf8-ab0e7be3ca71,Data,
Water Approval Points,water-approval-points,Geographic,8b5492a7-b224-43e4-9684-9f16130cd3ec,746e99a3-c02b-450c-9720-84e34ede45ba,Water Management,Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2016-03-24,2016-04-01,The location (point) where an approval has been re,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16910,shp,Water Approval Points - Custom Download,8950fbb9-8d3c-4c8a-8a3e-50e07daa9640,Data,WHSE_WATER_MANAGEMENT.WLS_WATER_APPROVALS_SVW
British Columbia Geographical Names Web Service - BCGNWS,british-columbia-geographical-names-web-service-bcgnws,WebService,eaad1179-f754-4491-8967-9bf15bc23ec8,dbf1cfef-52b7-4b87-a7b2-e8c3d8e8723d,Heritage,Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2016-03-24,2016-03-31,This web service offers searchable access to geogr,onGoing,https://apps.gov.bc.ca/pub/api/bcgnws/,html,https://apps.gov.bc.ca/pub/api/bcgnws/,f594fd84-0931-496b-bc6a-fbdb1d0c9a8d,,
BC Route Planner,bc-route-planner,WebService,3dad0c30-ef32-4f4c-82fa-33787d5f85f8,d2e433a1-b785-4d03-8a2b-392069175eb4,Enterprise Data Services,Service,Access Only,LOW-PUBLIC,Government,Government,2016-03-23,2016-03-30,The BC Route Planner is a REST web service that of,completed,"http://apps.gov.bc.ca/pub/api-explorer/?url=https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/router/router.json, https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/router/router.json, http://api.gov.bc.ca/editor/#/?import=https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/router/router.json","html, json, html","API Console, API Specs, API Spec Editor","6da9690e-a5f5-4b5a-8833-eafc46a47256, 82cd3194-0955-4d7e-b35a-78a98fda153a, 3806ae83-cf43-4d7f-b7d1-76f2e0768afa",,
BC HighwayCams,bc-highway-cams,Geographic,6b39a910-6c77-476f-ac96-7b4f18849b1c,ddda53fb-0e46-40e3-9d50-db9bdbfb27f5,Business Management Services,Transportation,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2016-03-10,2016-03-10,"A list of the locations, web addresses and attribu",completed,https://catalogue.data.gov.bc.ca/dataset/6b39a910-6c77-476f-ac96-7b4f18849b1c/resource/ba4453bb-f610-4f8f-af9e-8459aba32415/download/mtiwebcamstest.csv,csv,Dowload webcams.csv,ba4453bb-f610-4f8f-af9e-8459aba32415,Data,
British Columbia Greenhouse Gas Emissions ARCHIVE,british-columbia-greenhouse-gas-emissions-archive,Dataset,7ec1a555-122e-4173-9536-1731dfd63b5c,3772cd8e-a74c-4c1e-810c-8610e923b223,Climate Action Secretariat,Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2016-02-19,2016-03-09,British Columbia Greenhouse Gas Emissions (GHG) ar,completed,"https://catalogue.data.gov.bc.ca/dataset/7ec1a555-122e-4173-9536-1731dfd63b5c/resource/e6b66aa3-e96d-4d0c-b51b-342a3580acdd/download/bcghgemissions1990-2012pub2014.csv, https://catalogue.data.gov.bc.ca/dataset/7ec1a555-122e-4173-9536-1731dfd63b5c/resource/2de97906-7e66-4d2a-84f4-02e42aef03c1/download/bcghgrelateddata1990-2012pub2014.csv","csv, csv","bc_ghg_emissions_1990-2012_pub2014, bc_ghg_related_data_1990-2012_pub2014","e6b66aa3-e96d-4d0c-b51b-342a3580acdd, 2de97906-7e66-4d2a-84f4-02e42aef03c1","Data, Data",
Regulated Private Water Utilities,regulated-private-water-utilities,Geographic,1ddbc9db-5f0c-4525-aa24-1ce382786d5c,746e99a3-c02b-450c-9720-84e34ede45ba,Water Management,Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2016-02-09,2016-03-24,This points layer displays the general locations o,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16721,other,Custom Download,7cc4ff7f-78d1-4c45-9b5f-3e55fef57587,Data,WHSE_WATER_MANAGEMENT.WLS_RGLTD_PRIVATE_WTR_UTIL_SP
"Provincial Electoral Districts - Electoral Boundaries Redistribution, 2008",provincial-electoral-districts-electoral-boundaries-redistribution-2008,Geographic,c864f294-d302-4630-bde3-a0551735b309,db214e4b-621a-48f8-9435-06b65e4f5d6c,Elections BC,Service,Elections BC Open Data License,LOW-SENSITIVITY,Public,Public,2016-02-04,2016-03-31,A geographic area defined in the Electoral Distric,completed,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16901,other,Custom Download,3fb25b95-a304-4cd4-8526-342da6a1bd51,Data,WHSE_ADMIN_BOUNDARIES.EBC_ELECTORAL_DISTS_BS09_SVW	
