Title,Name,Type,ID,Sub. Organization,Full Organization Name,Sector,License,Security Class,View Audience,Download,Record Publish date,Record Last Modified,Description,Resource Status,Resource URL,Format,Resource Name,Resource ID,Resource Type,Object Name
Environmental Remediation Sites - Internal,environmental-remediation-sites-internal,Geographic,ab54dbb8-fe47-4801-a501-bf933eea8546,218e193f-e6ad-41a8-93ec-3e2b62d1307b,"Ministry Of Environment, Environmental Emergencies and Land Remediation",Health and Safety,Access Only,HIGH-SENSITIVITY,Government,Government,2016-04-05,2016-04-05,A layer containing data on known and potentially c...,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16906,shp,Environmental Remediation Sites,e2e6740f-617a-41d9-ac27-993bf4d8c97f,Data,WHSE_WASTE.SITE_ENV_RMDTN_SITES_GOV_SVW
Water Approval Points,water-approval-points,Geographic,8b5492a7-b224-43e4-9684-9f16130cd3ec,746e99a3-c02b-450c-9720-84e34ede45ba,"Ministry Of Forests Lands And Natural Resource Operations, Water Management",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2016-03-24,2016-04-01,The location (point) where an approval has been re...,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16910,shp,Water Approval Points - Custom Download,8950fbb9-8d3c-4c8a-8a3e-50e07daa9640,Data,WHSE_WATER_MANAGEMENT.WLS_WATER_APPROVALS_SVW
BC HighwayCams,bc-highway-cams,Geographic,6b39a910-6c77-476f-ac96-7b4f18849b1c,ddda53fb-0e46-40e3-9d50-db9bdbfb27f5,"Ministry Of Transportation And Infrastructure, Business Management Services",Transportation,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2016-03-10,2016-03-10,"A list of the locations, web addresses and attribu...",completed,https://catalogue.data.gov.bc.ca/dataset/6b39a910-6c77-476f-ac96-7b4f18849b1c/resource/ba4453bb-f610-4f8f-af9e-8459aba32415/download/mtiwebcamstest.csv,csv,Dowload webcams.csv,ba4453bb-f610-4f8f-af9e-8459aba32415,Data,
Regulated Private Water Utilities,regulated-private-water-utilities,Geographic,1ddbc9db-5f0c-4525-aa24-1ce382786d5c,746e99a3-c02b-450c-9720-84e34ede45ba,"Ministry Of Forests Lands And Natural Resource Operations, Water Management",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2016-02-09,2016-03-24,This points layer displays the general locations o...,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16721,other,Custom Download,7cc4ff7f-78d1-4c45-9b5f-3e55fef57587,Data,WHSE_WATER_MANAGEMENT.WLS_RGLTD_PRIVATE_WTR_UTIL_SP
"Provincial Electoral Districts - Electoral Boundaries Redistribution, 2008",provincial-electoral-districts-electoral-boundaries-redistribution-2008,Geographic,c864f294-d302-4630-bde3-a0551735b309,db214e4b-621a-48f8-9435-06b65e4f5d6c,"Bc Agency, Elections BC",Service,Elections BC Open Data License,LOW-SENSITIVITY,Public,Public,2016-02-04,2016-03-31,A geographic area defined in the Electoral Distric...,completed,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16901,other,Custom Download,3fb25b95-a304-4cd4-8526-342da6a1bd51,Data,WHSE_ADMIN_BOUNDARIES.EBC_ELECTORAL_DISTS_BS09_SVW	
Local Government Boundaries - Road centreline aligned,local-government-boundaries-road-centreline-aligned,Geographic,8dff4756-69d1-48f3-98d0-08d9235d5551,db214e4b-621a-48f8-9435-06b65e4f5d6c,"Bc Agency, Elections BC",Service,Access Only,LOW-SENSITIVITY,Public,Public,2016-02-04,2016-03-31,A spatial layer of polygon features representing L...,completed,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16905,other,Custom Download,9fda591e-7ebb-4344-bdc4-69587a161609,Data,WHSE_ADMIN_BOUNDARIES.EBC_LOCAL_GOVERNMENTS_SP	
Regional District Boundaries - Road centreline aligned,regional-district-boundaries-road-centreline-aligned,Geographic,b66ed992-16c9-4527-b363-0ae4827d103b,db214e4b-621a-48f8-9435-06b65e4f5d6c,"Bc Agency, Elections BC",Service,Access Only,LOW-SENSITIVITY,Public,Public,2016-02-04,2016-03-31,A spatial layer of polygon features representing r...,completed,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16904,other,Custom Download,415367e7-c2e4-47fb-b4bc-0a566c089321,Data,WHSE_ADMIN_BOUNDARIES.EBC_REGIONAL_DISTRICTS_SP
Provincial Site-based and Point Voting Areas - Gazetted 12/23/2015,provincial-site-based-and-point-voting-areas-gazetted-12-23-2015,Geographic,b53f60d9-d36a-4091-b154-ac98101061d0,db214e4b-621a-48f8-9435-06b65e4f5d6c,"Bc Agency, Elections BC",Service,Access Only,LOW-SENSITIVITY,Public,Public,2016-02-04,2016-03-31,Site-based Voting Areas are a distinct type of vot...,completed,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16903,other,Custom Download,ff13bf92-3381-42cd-91f9-bcbe4ee9097a,Data,WHSE_ADMIN_BOUNDARIES.EBC_SBP_VOTING_AREAS_BS09_SVW	
Provincial Electoral District Voting Areas - Gazetted 12/23/2015,provincial-electoral-district-voting-areas-gazetted-12-23-2015,Geographic,3d0b578e-e80c-41c3-844a-4330146862d7,db214e4b-621a-48f8-9435-06b65e4f5d6c,"Bc Agency, Elections BC",Service,Elections BC Open Data License,LOW-SENSITIVITY,Public,Public,2016-02-04,2016-03-31,An area containing up to 700 registered voters. Ea...,completed,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16902,other,Custom Download,d5104907-05b0-4462-ba7f-f79da0bc8fb5,Data,WHSE_ADMIN_BOUNDARIES.EBC_VOTING_AREAS_BS09_POLY_SVW	
Historical DriveBC Events 2015,historical-drivebc-events-2015,Geographic,2b3b027d-367b-4b04-a27b-254e17cc48e6,ddda53fb-0e46-40e3-9d50-db9bdbfb27f5,"Ministry Of Transportation And Infrastructure, Business Management Services",Transportation,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2016-02-01,2016-03-01,This dataset will include all the published events...,completed,https://catalogue.data.gov.bc.ca/dataset/2b3b027d-367b-4b04-a27b-254e17cc48e6/resource/8d2c8d6a-f1a4-47a9-b76d-4794f2610881/download/drivebceventshist2015.csv,csv,drivebc_events_hist_2015,8d2c8d6a-f1a4-47a9-b76d-4794f2610881,Data,
Historical DriveBC Events 2014,historical-drivebc-events-2014,Geographic,fb853ab9-2f13-49f9-986c-9a2074ee8132,ddda53fb-0e46-40e3-9d50-db9bdbfb27f5,"Ministry Of Transportation And Infrastructure, Business Management Services",Transportation,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2016-02-01,2016-02-01,This dataset will include all the published events...,completed,https://catalogue.data.gov.bc.ca/dataset/fb853ab9-2f13-49f9-986c-9a2074ee8132/resource/62b36c2f-b11a-4acb-98f6-fc6b18595ffc/download/drivebceventshist2014.csv,csv,drivebc_events_hist_2014,62b36c2f-b11a-4acb-98f6-fc6b18595ffc,Data,
Okanagan Conservation Ranking Polygons,okanagan-conservation-ranking-polygons,Geographic,a7449d62-b60c-4189-9854-69ccea12a58c,f473c4b8-03df-4cb3-a86a-168406eac22b,"Ministry Of Forests Lands And Natural Resource Operations, Regional Operations - Thompson Okanagan",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2016-01-14,2016-02-03,This spatial layer contains the Okanagan Conservat...,completed,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16701,other,Custom Download,56c7d89d-fe02-482d-98ee-c651ea12cb08,Data,REG_LAND_AND_NATURAL_RESOURCE.CONSERV_RANKING_OK_SP
Land Act Transfer of Administration/Control (MTO),land-act-transfer-of-administration-control-mto-,Geographic,004a0ea7-0fc9-45d7-b0f1-b98676cb1c76,bfcd546e-9211-42a6-9a29-6873d18b77eb,"Ministry Of Forests Lands And Natural Resource Operations, Land Tenures",Natural Resources,Access Only,LOW-PUBLIC,Public,Government,2016-01-11,2016-01-11,This featureclass object is only accessible to sel...,onGoing,"http://apps.gov.bc.ca/notice/edc/faq/,",other,Federal Transfer of Administration and Control (MTO),1e30142e-f3f3-41aa-99fa-8e107e3642ec,Data,WHSE_MINERAL_TENURE.MTA_FEDERAL_TRANSFER_LANDS_SVW
Land Act Transfer of Administration/Control (MTO),land-act-transfer-of-administration-control-mto-,Geographic,004a0ea7-0fc9-45d7-b0f1-b98676cb1c76,bfcd546e-9211-42a6-9a29-6873d18b77eb,"Ministry Of Forests Lands And Natural Resource Operations, Land Tenures",Natural Resources,Access Only,LOW-PUBLIC,Public,Government,2016-01-11,2016-01-11,This featureclass object is only accessible to sel...,onGoing,https://openmaps.gov.bc.ca/geo/pub/WHSE_MINERAL_TENURE.MTA_FEDERAL_TRANSFER_LANDS_SVW/ows?service=WMS&request=GetCapabilities, wms, WMS getCapabilities request, 3207020b-709e-43de-bc75-ede2da942b5e, Data,WHSE_MINERAL_TENURE.MTA_FEDERAL_TRANSFER_LANDS_SVW
Water Survey of Canada Sub-Sub-Drainage Areas,water-survey-of-canada-sub-sub-drainage-areas,Geographic,7ae18a3c-917b-4cb1-9aa8-51a172475dbb,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - Canada,LOW-PUBLIC,Public,Public,2016-01-07,2016-02-03,"Atlas of Canada 1,000,000 National Frameworks Data...",completed,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16681,fgdb,WSC Sub-Sub-Drainage Areas (polygons),6585ea0a-6122-439f-a208-1ad7c6aa40c7,Data,WHSE_IMAGERY_AND_BASE_MAPS.DRP_SUB_SUB_DRAINAGES_1M_SP
"Surveyed Railways, Highways and Roads",surveyed-railways-highways-and-roads,Geographic,c0183ff7-895a-43a3-bc4c-cf02d3db6ebc,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-12-02,2015-12-29,This geographic dataset is made up of polygons whi...,onGoing,"https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=7125,",other,Custom Download,c8f84c30-f037-4bb7-aff0-891fd0484185,Data,WHSE_TANTALIS.TEMP_TRANSPORT
